dirjeux (44);;;;;;;;
Nom du jeu;Éditeur;Type;Notice;Zone plan;Zone bénévole;À animer;Reçu;Vidéo
Forteresse;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/forteresse;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;https://www.youtube.com/watch?v=WIaJjMA9Ddc
L'Aventurier;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Lièvres et renards;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
La Nuit des Fantômes;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Les 3 petits cochons;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Bahuts malins;Smart Games;Enfants;https://ludotheque.ath.be/les-regles-de-nos-jeux/2992-bahuts-malins.pdf;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Camelot Jr;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/camelot-jr;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Le Petit Chaperon Rouge;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ-Fit;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ-Link;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ-Puzzler;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Alerte ! Astéroïdes;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/alerte-ast%C3%A9ro%C3%AFdes;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Cache Noisettes !;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/cache-noisettes;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Little Action;Djeco;Enfants;http://www.djeco.com/data/rules/DJ08557_FR.pdf;Esplanade-Droite 4;Esplanade-Droite 4;;oui;
Woolfy;Djeco;Enfants;http://www.djeco.com/data/rules/DJ08427_FR.pdf;Esplanade-Droite 4;Esplanade-Droite 4;;oui;https://www.youtube.com/watch?v=4e6ShJymQis
Smile Life;Smile Life;Tout public;https://www.play-in.com/pdf/rules_games/smile_life_regles_fr.pdf;Esplanade-Droite 1;Esplanade-Droite 1;oui;non;https://www.youtube.com/watch?v=dsDT5zhiCjU
Ligretto;Schmidt Spiele;Tout public;https://www.schmidtspiele.de/files/Produkte/0/01301%20-%20Ligretto%C2%AE%20rot/01107_Ligretto_DE-FR-ITpdf.pdf;Antigone-Sud 3;Antigone-Sud 3;oui;non;
Très futé !;Schmidt Spiele;Tout public;https://cdn.1j1ju.com/medias/6e/2f/13-tres-fute-regle.pdf;Antigone-Sud 3;Antigone-Sud 3;oui;non;https://videoregles.net/videoregle/tres-fute
Le bois des Couadsous;Jeux Opla;Enfants;https://www.jeux-opla.fr/wp-content/uploads/Le-Bois-des-Couadsous-english-rules.pdf;Esplanade-Centre 5;Esplanade-Centre 5;;non;
Code couleurs;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/code-couleur;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Il était une ferme;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
L'Atlantide;Smart Games;Enfants;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
